Simulation,Predicted Price,Average Return,Log Return,Simple Return
183,148.253,0.0109348,0.0405437,0.0413769
184,147.845,0.0109348,0.0405437,0.0413769
185,146.775,0.0109348,0.0405437,0.0413769
186,147.443,0.0109348,0.0405437,0.0413769
187,146.441,0.0109348,0.0405437,0.0413769
188,148.149,0.0109348,0.0405437,0.0413769
189,146.051,0.0109348,0.0405437,0.0413769
190,145.584,0.0109348,0.0405437,0.0413769
191,147.531,0.0109348,0.0405437,0.0413769
192,147.565,0.0109348,0.0405437,0.0413769
193,147.166,0.0109348,0.0405437,0.0413769
194,145.924,0.0109348,0.0405437,0.0413769
195,147.103,0.0109348,0.0405437,0.0413769
196,146.533,0.0109348,0.0405437,0.0413769
197,146.964,0.0109348,0.0405437,0.0413769
198,148.346,0.0109348,0.0405437,0.0413769
199,147.691,0.0109348,0.0405437,0.0413769
200,147.26,0.0109348,0.0405437,0.0413769
201,146.776,0.0109348,0.0405437,0.0413769
202,148.421,0.0109348,0.0405437,0.0413769
203,147.405,0.0109348,0.0405437,0.0413769
204,148.568,0.0109348,0.0405437,0.0413769
205,148.363,0.0109348,0.0405437,0.0413769
206,148.006,0.0109348,0.0405437,0.0413769
207,148.16,0.0109348,0.0405437,0.0413769
208,145.806,0.0109348,0.0405437,0.0413769
209,146.482,0.0109348,0.0405437,0.0413769
210,147.279,0.0109348,0.0405437,0.0413769
211,147.684,0.0109348,0.0405437,0.0413769
212,146.579,0.0109348,0.0405437,0.0413769
213,146.005,0.0109348,0.0405437,0.0413769
214,147.219,0.0109348,0.0405437,0.0413769
215,145.716,0.0109348,0.0405437,0.0413769
216,147.538,0.0109348,0.0405437,0.0413769
217,145.953,0.0109348,0.0405437,0.0413769
218,146.912,0.0109348,0.0405437,0.0413769
219,146.97,0.0109348,0.0405437,0.0413769
220,146.758,0.0109348,0.0405437,0.0413769
221,147.25,0.0109348,0.0405437,0.0413769
222,145.794,0.0109348,0.0405437,0.0413769
223,145.617,0.0109348,0.0405437,0.0413769
224,145.71,0.0109348,0.0405437,0.0413769
225,146.472,0.0109348,0.0405437,0.0413769
226,147.475,0.0109348,0.0405437,0.0413769
227,146.998,0.0109348,0.0405437,0.0413769
228,148.2,0.0109348,0.0405437,0.0413769
229,147.103,0.0109348,0.0405437,0.0413769
230,145.979,0.0109348,0.0405437,0.0413769
231,146.743,0.0109348,0.0405437,0.0413769
232,148.65,0.0109348,0.0405437,0.0413769
