Simulation,Predicted Price,Average Return,Log Return,Simple Return
180,132.531,-0.0136078,-0.0396744,-0.0388976
181,132.183,-0.0136078,-0.0396744,-0.0388976
182,133.168,-0.0136078,-0.0396744,-0.0388976
183,133.014,-0.0136078,-0.0396744,-0.0388976
184,134.21,-0.0136078,-0.0396744,-0.0388976
185,133.653,-0.0136078,-0.0396744,-0.0388976
186,132.944,-0.0136078,-0.0396744,-0.0388976
187,132.453,-0.0136078,-0.0396744,-0.0388976
188,132.29,-0.0136078,-0.0396744,-0.0388976
189,132.405,-0.0136078,-0.0396744,-0.0388976
190,133.7,-0.0136078,-0.0396744,-0.0388976
191,133.302,-0.0136078,-0.0396744,-0.0388976
192,132.403,-0.0136078,-0.0396744,-0.0388976
193,133.934,-0.0136078,-0.0396744,-0.0388976
194,132.891,-0.0136078,-0.0396744,-0.0388976
195,134.211,-0.0136078,-0.0396744,-0.0388976
196,133.261,-0.0136078,-0.0396744,-0.0388976
197,133.42,-0.0136078,-0.0396744,-0.0388976
198,133.956,-0.0136078,-0.0396744,-0.0388976
199,132.532,-0.0136078,-0.0396744,-0.0388976
200,132.156,-0.0136078,-0.0396744,-0.0388976
201,133.987,-0.0136078,-0.0396744,-0.0388976
202,133.076,-0.0136078,-0.0396744,-0.0388976
203,132.2,-0.0136078,-0.0396744,-0.0388976
204,132.79,-0.0136078,-0.0396744,-0.0388976
205,133.35,-0.0136078,-0.0396744,-0.0388976
206,133.558,-0.0136078,-0.0396744,-0.0388976
207,132.953,-0.0136078,-0.0396744,-0.0388976
208,132.717,-0.0136078,-0.0396744,-0.0388976
209,132.432,-0.0136078,-0.0396744,-0.0388976
210,133.23,-0.0136078,-0.0396744,-0.0388976
211,133.158,-0.0136078,-0.0396744,-0.0388976
212,132.523,-0.0136078,-0.0396744,-0.0388976
213,132.172,-0.0136078,-0.0396744,-0.0388976
214,134.086,-0.0136078,-0.0396744,-0.0388976
215,132.499,-0.0136078,-0.0396744,-0.0388976
216,133.732,-0.0136078,-0.0396744,-0.0388976
217,132.797,-0.0136078,-0.0396744,-0.0388976
218,132.86,-0.0136078,-0.0396744,-0.0388976
219,133.932,-0.0136078,-0.0396744,-0.0388976
220,133.111,-0.0136078,-0.0396744,-0.0388976
221,132.331,-0.0136078,-0.0396744,-0.0388976
222,133.002,-0.0136078,-0.0396744,-0.0388976
223,133.423,-0.0136078,-0.0396744,-0.0388976
224,134.176,-0.0136078,-0.0396744,-0.0388976
225,133.806,-0.0136078,-0.0396744,-0.0388976
226,133.4,-0.0136078,-0.0396744,-0.0388976
227,133.203,-0.0136078,-0.0396744,-0.0388976
228,132.995,-0.0136078,-0.0396744,-0.0388976
229,133.124,-0.0136078,-0.0396744,-0.0388976
230,133.646,-0.0136078,-0.0396744,-0.0388976
231,133.058,-0.0136078,-0.0396744,-0.0388976
232,132.879,-0.0136078,-0.0396744,-0.0388976
233,132.493,-0.0136078,-0.0396744,-0.0388976
234,133.166,-0.0136078,-0.0396744,-0.0388976
